#,Custom Panel (X),SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat and Human Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
1983,,23352-9,DTBP1,Dysbindin,Q96EV8,DTNBP1,,,X,,,,,,,,,,,,,
1984,,20970-14,DBND1,Dysbindin domain-containing protein 1,Q9H9R9,DBNDD1,,,,,,,,,,,,,,,,
1985,,21122-3,DBND2,Dysbindin domain-containing protein 2,Q9BQY9,DBNDD2,,,,,,,,,,,,,,,,
1986,,13698-28,K319L,Dyslexia-associated protein KIAA0319-like protein,Q8IZA0,KIAA0319L,X,X,X,,X,,,,,,,,,,X,
1987,,24701-21,DTNA,Dystrobrevin alpha,Q9Y4J8,DTNA,X,,,,,,,,,,,,,,,
1988,,25087-11,DTNA,Dystrobrevin alpha,Q9Y4J8,DTNA,,,,,,,,,,,,,,,,
1989,,8369-102,DAG1,Dystroglycan,Q14118,DAG1,,,,,,,,,,,,,,,,
1990,,22124-94,DYTN,Dystrotelin,A2CJ06,DYTN,,,,,,,,,,,,,,,,
1991,,22125-9,E2F5,E2F5,Q15329,E2F5,,,,,,,,,,,,,,,,
1992,,12934-1,HERC5,E3 ISG15--protein ligase HERC5,Q9UII4,HERC5,,X,,,,,,,,,,,,,,
1993,,22517-106,NSE2,E3 SUMO-protein ligase NSE2,Q96MF7,NSMCE2,,,,,,,,,,,,,,,,
1994,,13513-174,PIAS3,E3 SUMO-protein ligase PIAS3,Q9Y6X2,PIAS3,,,,,,,,,,,,,,,,
1995,,10342-55,PIAS4,E3 SUMO-protein ligase PIAS4,Q8N2W9,PIAS4,,,,,,,,,,X,,,X,,X,
1996,,12016-60,CBL,E3 ubiquitin-protein ligase CBL,P22681,CBL,X,,,,,,,,,,,,,,,
1997,,22417-10,CBLC,E3 ubiquitin-protein ligase CBL-C,Q9ULV8,CBLC,,,,,,,,,,,,,,,,
1998,,9728-4,CIP1,E3 ubiquitin-protein ligase CCNB1IP1,Q9NPC3,CCNB1IP1,,,,,,,,,,,,,,,,
1999,,11320-29,CHFR,E3 ubiquitin-protein ligase CHFR,Q96EP1,CHFR,,,,X,,,,,,,,,,,,
2000,,10336-3,CHIP,E3 ubiquitin-protein ligase CHIP,Q9UNE7,STUB1,,,,,,,,,,,,,,,,
2001,,11350-30,CHIP,E3 ubiquitin-protein ligase CHIP,Q9UNE7,STUB1,,,,,,,,,,,,,,,,
2002,,11430-49,DTX1,E3 ubiquitin-protein ligase DTX1,Q86Y01,DTX1,,,,X,,,,,,,,,,,,
2003,,11643-73,DTX3L,E3 ubiquitin-protein ligase DTX3L,Q8TDB6,DTX3L,,,,,,,,,,,,,,,,
2004,,10063-10,FANCL,E3 ubiquitin-protein ligase FANCL,Q9NW38,FANCL,,,X,,,,,,,,,,,,,
2005,,12669-30,HECW1,E3 ubiquitin-protein ligase HECW1,Q76N89,HECW1,,,,,,,,,,,,,,,,
2006,,25126-19,HECW2,E3 ubiquitin-protein ligase HECW2,Q9P2P5,HECW2,,,,,,,,,,,,,,,,
2007,,12551-3,ITCH,E3 ubiquitin-protein ligase Itchy homolog,Q96J02,ITCH,,X,,,,,,,,,,,,,,
2008,,9936-27,LNX1,E3 ubiquitin-protein ligase LNX,Q8TBB1,LNX1,,,,,,,,,,,,,,,,
2009,,24411-144,LRSM1,E3 ubiquitin-protein ligase LRSAM1,Q6UWE0,LRSAM1,,,,,,,,,,,,,,,,
2010,,13228-75,MDM2,E3 ubiquitin-protein ligase Mdm2,Q00987,MDM2,,,,,,,,,,,,,,,,
2011,,4245-80,MDM2,E3 ubiquitin-protein ligase Mdm2,Q00987,MDM2,,X,X,X,X,,,,,,,,,,X,
2012,,13604-27,NEUL1,E3 ubiquitin-protein ligase NEURL1,O76050,NEURL1,X,,,,,,,,,,,,,,,
2013,,13411-21,RNF41,E3 ubiquitin-protein ligase NRDP1,Q9H4P4,RNF41,,,,,,,,,,,,,,,,
2014,,13013-41,PRKN2,E3 ubiquitin-protein ligase parkin,O60260,PRKN,,,,X,,,,,,,,,,,,
2015,,22421-79,PELI1,E3 ubiquitin-protein ligase pellino homolog 1,Q96FA3,PELI1,,,,,,,,,,,,,,,,
2016,,12702-13,PELI2,E3 ubiquitin-protein ligase pellino homolog 2,Q9HAT8,PELI2,,,,,,,,,,,,,,,,
2017,,25111-24,RAD18,E3 ubiquitin-protein ligase RAD18,Q9NS91,RAD18,,,,,,,,,,,,,,,,
2018,,9887-40,RBBP6,E3 ubiquitin-protein ligase RBBP6,Q7Z6E9,RBBP6,,,,,,,,,,,,,,,,
2019,,14186-13,RFFL,E3 ubiquitin-protein ligase rififylin,Q8WZ73,RFFL,,,,,,,,,,,,,,,,
2020,,9957-9,RN114,E3 ubiquitin-protein ligase RNF114,Q9Y508,RNF114,,,,,,,,,,,,,,,,
2021,,6510-56,RN128:region 1,E3 ubiquitin-protein ligase RNF128:region 1,Q8TEB7,RNF128,,,,,,,,,,,,,,,,
2022,,8633-18,RN128:region 2,E3 ubiquitin-protein ligase RNF128:region 2,Q8TEB7,RNF128,,,,,,,,,,,,,,,,
2023,,8087-250,RNF13,E3 ubiquitin-protein ligase RNF13,O43567,RNF13,,,,,,,,,,,,,,,,
2024,,11401-181,RN146,E3 ubiquitin-protein ligase RNF146,Q9NTX7,RNF146,,,,,,,,,,,,,,,,
2025,,9773-15,RN149,E3 ubiquitin-protein ligase RNF149,Q8NC42,RNF149,,,,,,,,,,,,,,,,
2026,,23637-55,RNF25,E3 ubiquitin-protein ligase RNF25,Q96BH1,RNF25,,,,,,,,,,,,,,,,
2027,,23183-6,RNF31,E3 ubiquitin-protein ligase RNF31,Q96EP0,RNF31,,,,,,,,,,,,,,,,
2028,,13386-248,RNF34,E3 ubiquitin-protein ligase RNF34,Q969K3,RNF34,,,,,,,,,,,,,,,,
2029,,10505-12,RNF43,E3 ubiquitin-protein ligase RNF43,Q68DV7,RNF43,,X,,X,,,,,,,,,,,,
2030,,14120-2,RNF43,E3 ubiquitin-protein ligase RNF43,Q68DV7,RNF43,,,,,,,,,,,,,,,,
2031,,14663-44,RNF8,E3 ubiquitin-protein ligase RNF8,O76064,RNF8,,,,,,,,,,,,,,,,
2032,,21858-25,SIAH1,E3 ubiquitin-protein ligase SIAH1,Q8IUQ4,SIAH1,,,,,,,,,,,,,,,,
2033,,11557-3,SMUF1,E3 ubiquitin-protein ligase SMURF1,Q9HCE7,SMURF1,,,,,,,,,,,,,,,,
2034,,13985-12,SMUF2,E3 ubiquitin-protein ligase SMURF2,Q9HAU4,SMURF2,,,,,,,,,,,,,,,,
2035,,22015-2,RO52,E3 ubiquitin-protein ligase TRIM21,P19474,TRIM21,,,,,,,,,,,,,,,,
2036,,23225-26,TRI62,E3 ubiquitin-protein ligase TRIM62,Q9BVG3,TRIM62,,,,,,,,,,,,,,,,
2037,,22817-126,TRIM9,E3 ubiquitin-protein ligase TRIM9,Q9C026,TRIM9,,,,,,,,,,,,,,,,
2038,,13651-54,ZFP91,E3 ubiquitin-protein ligase ZFP91,Q96JP5,ZFP91,,,,,,,,,,,,,,,,
2039,,10390-21,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,Q9ULT6,ZNRF3,,,,,,,,,,X,,,X,,X,
2040,,14122-132,ZNRF3,E3 ubiquitin-protein ligase ZNRF3,Q9ULT6,ZNRF3,,,,,,,,,,X,,,X,,X,
2041,,16618-7,CD69,Early activation antigen CD69,Q07108,CD69,,X,X,,X,,,,,,,,,,X,
2042,,14043-12,EEA1,Early endosome antigen 1,Q15075,EEA1,,,,,,,,,,,,,,,,
2043,,6410-26,INSL4,Early placenta insulin-like peptide,Q14641,INSL4,,,,,,,,,,,,,,,,
2044,,25907-47,EMAL2,Echinoderm microtubule-associated protein-like 2,O95834,EML2,,,,,,,,,,,,,,,,
2045,,10970-3,NAR3,Ecto-ADP-ribosyltransferase 3,Q13508,ART3,,,,,,,,,,,,,,,,
2046,,7970-315,NAR3,Ecto-ADP-ribosyltransferase 3,Q13508,ART3,,,,,,,,,,,,,,,,
2047,,6576-1,ART4,Ecto-ADP-ribosyltransferase 4,Q93070,ART4,,,,,,,,,,,,,,,,
2048,,23202-78,NAR5,Ecto-ADP-ribosyltransferase 5,Q96L15,ART5,,,,,,,,,,,,,,,,
2049,,14024-196,EDA,"Ectodysplasin-A, secreted form",Q92838,EDA,,,,,,,,,,,,,,,,
2050,,2826-53,EDA,"Ectodysplasin-A, secreted form",Q92838,EDA,,,,,,,,,,,,,,,,
2051,,12933-17,ENOX1,Ecto-NOX disulfide-thiol exchanger 1,Q8TC92,ENOX1,,,,,,,,,,,,,,,,
2052,,13422-66,ENOX2,Ecto-NOX disulfide-thiol exchanger 2,Q16206,ENOX2,,,,,,,,,,,,,,,,
2053,,3182-38,CD39,Ectonucleoside triphosphate diphosphohydrolase 1,P49961,ENTPD1,,,,,,,,,,X,,,X,,X,
2054,,7999-23,CD39,Ectonucleoside triphosphate diphosphohydrolase 1,P49961,ENTPD1,,,,,,,,,,X,,,X,,X,
2055,,18887-7,ENTP2,Ectonucleoside triphosphate diphosphohydrolase 2,Q9Y5L3,ENTPD2,,,,,,,,,,,,,,,,
2056,,4436-1,ENTP3,Ectonucleoside triphosphate diphosphohydrolase 3,O75355,ENTPD3,,,,,,,,,,X,,,X,,X,
2057,,4437-56,ENTP5,Ectonucleoside triphosphate diphosphohydrolase 5,O75356,ENTPD5,,,,,,,,,,X,,,X,,X,
2058,,8932-1,ENTP6,Ectonucleoside triphosphate diphosphohydrolase 6,O75354,ENTPD6,,,X,,,,,,,,,,,,,
2059,,16892-23,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Q13822,ENPP2,,,,,,,,,X,,,,X,,X,
2060,,25251-6,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,O14638,ENPP3,,,,,,,,,X,,,,X,,X,
2061,,6556-5,ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,Q9UJA9,ENPP5,,,,,,,,,X,,,,X,,X,
2062,,15579-26,ENPP6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,Q6UWR7,ENPP6,,,,,,,,,X,,,,X,,X,
2063,,4435-66,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Q6UWV6,ENPP7,,,,,,,,,X,,,,X,,X,
2064,,23259-23,EFMT1,EEF1A lysine methyltransferase 1,Q8WVE0,EEF1AKMT1,,,,,,,,,,,,,,,,
2065,,23274-27,EFCB1,EF-hand calcium-binding domain-containing protein 1,Q9HAE3,EFCAB1,,,,,,,,,,,,,,,,
2066,,9514-46,K0494:C-term,EF-hand calcium-binding domain-containing protein 14:C-term,O75071,EFCAB14,,,,,,,,,,,,,,,,
2067,,10830-5,K0494:N-term,EF-hand calcium-binding domain-containing protein 14:N-term,O75071,EFCAB14,,,,,,,,,,,,,,,,
2068,,24304-3,EFC4B,EF-hand calcium-binding domain-containing protein 4B,Q9BSW2,CRACR2A,,,,,,,,,,,,,,,,
2069,,19616-100,EFHD1,EF-hand domain-containing protein D1,Q9BUP0,EFHD1,,,,,,,,,,,,,,,,
2070,,22037-47,EFHD2,EF-hand domain-containing protein D2,Q96C19,EFHD2,,,,,,,,,,,,,,,,
2071,,8480-29,FBLN3,EGF-containing fibulin-like extracellular matrix protein 1,Q12805,EFEMP1,X,,X,X,,,,,,X,,,X,,X,
2072,,9360-33,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,O43854,EDIL3,,,,,,,,,,,,,,,,
2073,,9901-28,EGLN1,Egl nine homolog 1,Q9GZT9,EGLN1,,X,,,,,,,,,,,,,,
2074,,24674-22,EGLN2,Egl nine homolog 2,Q96KS0,EGLN2,,,,,,,,,,,,,,,,
2075,,20986-58,EGLN3,Egl nine homolog 3,Q9H6Z9,EGLN3,,,,,,,,,,,,,,,,
2076,,12813-18,EHBP1,EH domain-binding protein 1,Q8NDI1,EHBP1,,,,,,,,,,,,,,,,
2077,,24235-2,EHD1,EH domain-containing protein 1,Q9H4M9,EHD1,,,,,,,,,,,,,,,,
2078,,23640-10,EHD2,EH domain-containing protein 2,Q9NZN4,EHD2,,,,,,,,,,,,,,,,
2079,,25232-4,EHD3,EH domain-containing protein 3,Q9NZN3,EHD3,,,,,,,,,,,,,,,,
2080,,11421-10,EHD4,EH domain-containing protein 4,Q9H223,EHD4,,,,,,,,,,,,,,,,
2081,,14284-23,E2AK4,eIF-2-alpha kinase GCN2,Q9P2K8,EIF2AK4,X,X,X,,X,,,,,,,,,,X,
2082,,12417-46,TPRKB,EKC/KEOPS complex subunit TPRKB,Q9Y3C4,TPRKB,,,,,,,,,,,,,,,,
2083,,4982-54,Elafin,Elafin,P19957,PI3,X,,,,,,,,,,,,,,,
2084,,11592-1,ELAV1,ELAV-like protein 1,Q15717,ELAVL1,,,,,,,,,,,,,,,,
2085,,21173-25,ELAV2,ELAV-like protein 2,Q12926,ELAVL2,,,,,,,,,,,,,,,,
2086,,17435-43,ETFA,"Electron transfer flavoprotein subunit alpha, mitochondrial",P13804,ETFA,,,X,,,,,,,,,,,,,
2087,,12798-46,S4A8,Electroneutral sodium bicarbonate exchanger 1,Q2Y0W8,SLC4A8,,,,,,,,,,,,,,,,
2088,,24983-119,RB6I2,ELKS/RAB6-interacting/CAST family member 1,Q8IUD2,ERC1,,,,,,,,,,,,,,,,
2089,,25256-153,EF-1-alpha-1,Elongation factor 1-alpha 1,P68104,EEF1A1,,,,,,,,,,,,,,,,
2090,,25256-23,EF-1-alpha-1,Elongation factor 1-alpha 1,P68104,EEF1A1,,,,X,,,,,,,,,,,,
2091,,25906-5,EF-1-alpha-1,Elongation factor 1-alpha 1,P68104,EEF1A1,,,,,,,,,,,,,,,,
2092,,5882-34,EF-1-beta,Elongation factor 1-beta,P24534,EEF1B2,,,,X,,,,,,X,,,X,,X,
2093,,17826-341,EF1D,Elongation factor 1-delta,P29692,EEF1D,,,,,,,,,,,,,,,,
2094,,24111-10,EF1G,Elongation factor 1-gamma,P26641,EEF1G,,,,,,,,,,,,,,,,
2095,,25102-23,ELP1,Elongator complex protein 1,O95163,ELP1,,,,X,,,,,,,,,,,,
2096,,12572-236,EFS,Embryonal Fyn-associated substrate,O43281,EFS,,,,,,,,,,,,,,,,
2097,,9547-29,EMID1,EMI domain-containing protein 1,Q96A84,EMID1,,,,,,,,,,,,,,,,
2098,,8773-172,EMIL3:region 1,EMILIN-3:region 1,Q9NT22,EMILIN3,,,,,,,,,,,,,,,,
2099,,9991-112,EMIL3:region 2,EMILIN-3:region 2,Q9NT22,EMILIN3,,,,,,,,,,,,,,,,
2100,,11656-110,EVL,Ena/VASP-like protein,Q9UI08,EVL,,,,X,,,,,,,,,,,,
2101,,12531-5,ERVV1,Endogenous retrovirus group V member 1 Env polyprotein,B6SEH8,ERVV-1,,,,,,,,,,,,,,,,
2102,,4908-6,Endoglin,Endoglin,P17813,ENG,X,,X,,,,,,,X,,,X,,X,
2103,,21802-53,NEIL1,Endonuclease 8-like 1,Q96FI4,NEIL1,,,X,,,,,,,,,,,,,
2104,,21476-43,NEIL2,Endonuclease 8-like 2,Q969S2,NEIL2,,,,,,,,,,,,,,,,
2105,,12499-108,SH3G2,Endophilin-A1,Q99962,SH3GL2,,,,,,,,,,,,,,,,
2106,,20139-57,SH3G2,Endophilin-A1,Q99962,SH3GL2,,,,,,,,,,,,,,,,
2107,,18318-98,SH3G3,Endophilin-A3,Q99963,SH3GL3,,,,,,,,,,,,,,,,
2108,,23029-3,SH3G3,Endophilin-A3,Q99963,SH3GL3,,,,,,,,,,,,,,,,
2109,,16859-100,SHLB1,Endophilin-B1,Q9Y371,SH3GLB1,,,,,,,,,,,,,,,,
2110,,18222-34,SHLB2,Endophilin-B2,Q9NR46,SH3GLB2,,,,,,,,,,,,,,,,
2111,,4964-67,ARTS1,Endoplasmic reticulum aminopeptidase 1,Q9NZ08,ERAP1,X,,,,,,,,,,,,,,,
2112,,8960-3,LRAP,Endoplasmic reticulum aminopeptidase 2,Q6P179,ERAP2,,,,,,X,,X,,,,,X,,X,
2113,,25491-54,LNP,Endoplasmic reticulum junction formation protein lunapark,Q9C0E8,LNPK,,,,,,,,,,,,,,,,
2114,,8957-72,XTP3B,Endoplasmic reticulum lectin 1,Q96DZ1,ERLEC1,,,,,,,,,,,,,,,,
2115,,7071-23,MA1B1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",Q9UKM7,MAN1B1,,,,,,,,,,,,,,,,
2116,,9333-59,ERP27,Endoplasmic reticulum resident protein 27,Q96DN0,ERP27,,,,,,,,,,,,,,,,
2117,,13728-19,ERP29,Endoplasmic reticulum resident protein 29,P30040,ERP29,,,,X,,,,,,X,,,X,,X,
2118,,4983-6,ERP29,Endoplasmic reticulum resident protein 29,P30040,ERP29,,,,,,,,,,X,,,X,,X,
2119,,6064-4,TXNDC4,Endoplasmic reticulum resident protein 44,Q9BS26,ERP44,,,,X,,,,,,,,,,,,
2120,,23372-112,ERGI1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,Q969X5,ERGIC1,,,,,,,,,,,,,,,,
2121,,6393-63,Endoplasmin,Endoplasmin,P14625,HSP90B1,,,,,,,,,,,,,,,,
2122,,22381-1,LACB2,Endoribonuclease LACTB2,Q53H82,LACTB2,,,,,,,,,,,,,,,,
2123,,15491-20,CD248,Endosialin,Q9HCU0,CD248,,,,,,,,,,,,,,,,
2124,,2201-17,Endostatin,Endostatin,P39060,COL18A1,X,,X,,,,,,,X,,,X,,X,
2125,,23148-100,Endothelial lipase,Endothelial cell-derived lipase,Q9Y5X9,LIPG,,,,,,,,,,,,,,,,
2126,,20536-11,ESAM,Endothelial cell-selective adhesion molecule,Q96AP7,ESAM,,,,,,,,,,,,,,,,
2127,,2981-9,ESAM,Endothelial cell-selective adhesion molecule,Q96AP7,ESAM,,,,,,X,,X,,,,,X,,X,
2128,,7841-84,ESAM,Endothelial cell-selective adhesion molecule,Q96AP7,ESAM,,,,,,,,,,,,,,,,
2129,,3805-16,Endocan,Endothelial cell-specific molecule 1,Q9NQ30,ESM1,,,,X,,,,,,,,,,,,
2130,,12415-122,EDF1,Endothelial differentiation-related factor 1,O60869,EDF1,,,,,,,,,,,,,,,,
2131,,2714-78,EMAP-2,Endothelial monocyte-activating polypeptide 2,Q12904,AIMP1,,X,,X,,,,,,X,,,X,,X,
2132,,6495-14,Endothelin 1,Endothelin-1,P05305,EDN1,X,X,X,,X,,,,,,,,,,X,
2133,,12574-36,Endothelin 2,Endothelin-2,P20800,EDN2,X,,,,,,,,,,,,,,,
2134,,15383-200,Endothelin 3,Endothelin-3,P14138,EDN3,X,,,,,,,,,,,,,,,
2135,,6113-31,Endothelin 3,Endothelin-3,P14138,EDN3,,,,,,,,,,,,,,,,
2136,,8767-44,Endothelin-converting enzyme 1:CD,Endothelin-converting enzyme 1:Cytoplasmic domain,P42892,ECE1,X,,,,,,,,,X,,,X,,X,
2137,,3611-70,Endothelin-converting enzyme 1:ECD,Endothelin-converting enzyme 1:Extracellular domain,P42892,ECE1,X,,X,,,,,,,X,,,X,,X,
2138,,7076-17,ECEL1,Endothelin-converting enzyme-like 1,O95672,ECEL1,,,,,,,,,,,,,,,,
2139,,12764-3,ELMO1,Engulfment and cell motility protein 1,Q92556,ELMO1,,X,,,,,,,,,,,,,,
2140,,25061-8,ELMO2,Engulfment and cell motility protein 2,Q96JJ3,ELMO2,X,,,,,,,,,,,,,,,
2141,,12862-14,CASL,Enhancer of filamentation 1,Q14511,NEDD9,,,,,,,,,,,,,,,,
2142,,13066-42,EDC4,Enhancer of mRNA-decapping protein 4,Q6P2E9,EDC4,,,,,,,,,,,,,,,,
2143,,11614-29,ERH,Enhancer of rudimentary homolog,P84090,ERH,,,,,,,,,,,,,,,,
2144,,24914-10,EZH2,Enhancer of zeste homolog 2,Q15910,EZH2,,X,,X,,,,,X,,,,X,,X,
2145,,19367-34,D3D2,"Enoyl-CoA delta isomerase 1, mitochondrial",P42126,ECI1,,,,,,,,,,,,,,,,
2146,,12859-33,PECI,"Enoyl-CoA delta isomerase 2, mitochondrial",O75521,ECI2,,,,,,,,,,,,,,,,
2147,,17787-1,Enoyl-CoA hydratase,"Enoyl-CoA hydratase, mitochondrial",P30084,ECHS1,,,X,,,,,,,,,,,,,
2148,,3189-61,Enterokinase,Enteropeptidase,P98073,TMPRSS15,,,X,,,,,,,X,,,X,,X,
2149,,14019-73,EVPL,Envoplakin,Q92817,EVPL,,,,,,,,,,,,,,,,
2150,,15576-158,ECP,Eosinophil cationic protein,P12724,RNASE3,,,,,,,,,,,,,,,,
2151,,5741-55,ECP,Eosinophil cationic protein,P12724,RNASE3,,X,,,,,,,,,,,,,,
3359,,4673-13,IL-6,Interleukin-6,P05231,IL6,X,X,X,X,X,,,,,,,X,X,X,X,
2153,,8079-39,EID3,EP300-interacting inhibitor of differentiation 3,Q8N140,EID3,,,,,,,,,,,,,,,,
2154,,3431-54,EphA1,Ephrin type-A receptor 1,P21709,EPHA1,,,,,,,,,,X,,,X,,X,
2155,,5076-53,EPHAA,Ephrin type-A receptor 10,Q5JZY3,EPHA10,,,,,,,,,,,,,,,,
2156,,6036-78,EPHAA,Ephrin type-A receptor 10,Q5JZY3,EPHA10,,,,,,,,,,,,,,,,
2157,,4834-61,Epithelial cell kinase,Ephrin type-A receptor 2,P29317,EPHA2,X,,,X,,X,,,,,,,X,,X,
2158,,3432-21,EPHA3,Ephrin type-A receptor 3,P29320,EPHA3,X,,,X,,,,,,,,,,,,
2159,,16288-17,EPHA4,Ephrin type-A receptor 4,P54764,EPHA4,,,X,,,,,,,,,,,,,
2160,,7190-50,EPHA4,Ephrin type-A receptor 4,P54764,EPHA4,,,,,,,,,,,,,,,,
2161,,3806-55,EphA5,Ephrin type-A receptor 5,P54756,EPHA5,,,,,,,,,,X,,,X,,X,
2162,,22587-37,EPHA6,Ephrin type-A receptor 6,Q9UF33,EPHA6,,,,,,,,,,,,,,,,
2163,,15580-2,EPHA7,Ephrin type-A receptor 7,Q15375,EPHA7,,,,,,,,,,,,,,,,
2164,,7195-119,EPHA7,Ephrin type-A receptor 7,Q15375,EPHA7,,,,,,,,,,,,,,,,
2165,,20558-4,EPHA8,Ephrin type-A receptor 8,P29322,EPHA8,,,,,,,,,,,,,,,,
2166,,17680-12,EPHB1,Ephrin type-B receptor 1,P54762,EPHB1,,,,,,,,,,,,,,,,
2167,,8225-86,EPHB2,Ephrin type-B receptor 2,P29323,EPHB2,,,,X,,,,,,X,,,X,,X,
2168,,8348-4,EPHB2,Ephrin type-B receptor 2,P29323,EPHB2,,,,,,,,,,X,,,X,,X,
2169,,9220-7,EPHB3,Ephrin type-B receptor 3,P54753,EPHB3,,,,,,,,,,,,,,,,
2170,,15530-33,EphB4,Ephrin type-B receptor 4,P54760,EPHB4,X,,,X,,,,,,,,,,,,
2171,,5078-82,EphB6,Ephrin type-B receptor 6,O15197,EPHB6,,,,,,,,,,X,,,X,,X,
2172,,9261-14,EphB6,Ephrin type-B receptor 6,O15197,EPHB6,,,,,,,,,,X,,,X,,X,
2173,,20091-138,Ephrin-A1,Ephrin-A1,P20827,EFNA1,,,,X,,,,,,,,,,,,
2174,,10801-11,Ephrin-A2,Ephrin-A2,O43921,EFNA2,,,,,,,,,,X,,,X,,X,
2175,,14124-6,Ephrin-A2,Ephrin-A2,O43921,EFNA2,,,,,,,,,,X,,,X,,X,
2176,,22580-29,Ephrin-A2,Ephrin-A2,O43921,EFNA2,,,,,,,,,,X,,,X,,X,
2177,,14153-8,Ephrin-A3,Ephrin-A3,P52797,EFNA3,,,,,,,,,,X,,,X,,X,
2178,,5759-10,Ephrin-A3,Ephrin-A3,P52797,EFNA3,,,,,,,,,,X,,,X,,X,
2179,,14050-61,Ephrin-A4,Ephrin-A4,P52798,EFNA4,,,,,,,,,,X,,,X,,X,
2180,,2614-28,Ephrin-A4,Ephrin-A4,P52798,EFNA4,,,,,,,,,,X,,,X,,X,
2181,,2615-60,Ephrin-A5,Ephrin-A5,P52803,EFNA5,X,,,,,,,,,X,,,X,,X,
2182,,13104-32,EFNB1,Ephrin-B1,P98172,EFNB1,,,,,,,,,,X,,,X,,X,
2183,,5746-37,EFNB1,Ephrin-B1,P98172,EFNB1,,,X,,,,,,,X,,,X,,X,
2184,,8772-5,EFNB2:CD,Ephrin-B2:Cytoplasmic domain,P52799,EFNB2,X,,,X,,,,,,X,,,X,,X,
2185,,14131-37,EFNB2:ECD,Ephrin-B2:Extracellular domain,P52799,EFNB2,X,,,X,,,,,,X,,,X,,X,
2186,,7785-1,Ephrin-B3:CD,Ephrin-B3:Cytoplasmic domain,Q15768,EFNB3,,,,,,,,,,X,,,X,,X,
2187,,2514-65,Ephrin-B3:ECD,Ephrin-B3:Extracellular domain,Q15768,EFNB3,,,,,,,,,,X,,,X,,X,
2188,,2677-1,ERBB1,Epidermal growth factor receptor,P00533,EGFR,X,,,X,,X,,,,X,,,X,,X,
2189,,24899-13,ES8L1,Epidermal growth factor receptor kinase substrate 8-like protein 1,Q8TE68,EPS8L1,,,,,,,,,,,,,,,,
2190,,24891-54,ES8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Q9H6S3,EPS8L2,,,,,,,,,,,,,,,,
2191,,24931-9,ES8L3,Epidermal growth factor receptor kinase substrate 8-like protein 3,Q8TE67,EPS8L3,,,,,,,,,,,,,,,,
2192,,4212-5,EP15R,Epidermal growth factor receptor substrate 15-like 1,Q9UBC2,EPS15L1,,,,,,,,,,X,,,X,,X,
2193,,19567-1,EGFRvIII,Epidermal growth factor receptor variant III,P00533,EGFR,,,,,,,,,,X,,,X,,X,
2194,,11949-25,EGF:CD,Epidermal growth factor:Cytoplasmic domain,P01133,EGF,X,X,,X,,,,,,X,,X,X,,X,
2195,,5509-7,EGF:ECD,Epidermal growth factor:Extracellular domain,P01133,EGF,X,X,X,X,X,,,,,X,,X,X,,X,
2196,,17454-15,EGFL6,Epidermal growth factor-like protein 6,Q8IUX8,EGFL6,,,,,,,,,,,,,,,,
2197,,9475-22,GPX5,Epididymal secretory glutathione peroxidase,O75715,GPX5,,,,,,,,,,,,,,,,
2198,,9536-16,EP3A,Epididymal secretory protein E3-alpha,Q14507,EDDM3A,,,,,,,,,,,,,,,,
2199,,7782-34,EP3B,Epididymal secretory protein E3-beta,P56851,EDDM3B,,,,,,,,,,,,,,,,
2200,,13007-66,LCN10,Epididymal-specific lipocalin-10,Q6JVE6,LCN10,,,,,,,,,,,,,,,,
2201,,5643-2,LCN8,Epididymal-specific lipocalin-8,Q6JVE9,LCN8,,,,,,,,,,,,,,,,
2202,,9251-28,MA2B2,Epididymis-specific alpha-mannosidase,Q9Y2E5,MAN2B2,,,,,,,,,,,,,,,,
2203,,4956-2,EPI,Epiregulin,O14944,EREG,,,X,,,,,,,X,,,X,,X,
2204,,11836-144,discoidin domain receptor 1,Epithelial discoidin domain-containing receptor 1,Q08345,DDR1,,,,X,,,,,,,,,,,,
2205,,4122-12,discoidin domain receptor 1,Epithelial discoidin domain-containing receptor 1,Q08345,DDR1,,,,,,,,,,,,,,,,
2206,,8828-21,ESRP1,Epithelial splicing regulatory protein 1,Q6NXG1,ESRP1,,,,,,,,,,,,,,,,
2207,,21269-198,HYES,Epoxide hydrolase 2,P34913,EPHX2,X,,X,,,,,,,,,,,,,
2208,,24255-38,EPN1,Epsin-1,Q9Y6I3,EPN1,,,,,,,,,,,,,,,,
